id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7054	marine benthos	-0.5792	0.6971	1	41	66	10	2012.3	22.3	0.9866
7056	marine biodiversity	-0.1445	0.8234	1	64	146	22	2014.1818	19.4091	1.195
7084	marine fishes	0.4834	-0.8613	3	34	59	12	2013.4167	13.5	0.6347
7104	marine macroalgae	-0.193	0.9095	1	27	44	12	2009.5	33.8333	0.985
7222	maturity index	-0.9272	0.4802	1	34	68	14	2014.3571	11.7143	0.5269
7261	mechanisms	0.4595	0.3195	2	87	177	26	2013.5	30	1.2794
7316	meiofauna	-0.9743	0.5823	1	32	54	10	2012.6	14.2	0.6163
7382	metacommunity	0.0395	-0.549	2	47	85	11	2015.2727	7.3636	0.7971
7385	metacommunity structure	-0.5158	-0.9356	2	56	116	15	2016.3333	5.1333	1.9937
7451	microbial diversity	0.1851	-0.6568	3	34	57	11	2013.8182	32.5455	1.3535
7601	model	0.3768	-0.0087	2	163	587	90	2014	16.4111	0.905
7728	morphology	0.7883	-0.2566	3	198	1008	220	2012.5091	22.1	0.8103
7835	multiple spatial scales	-0.8439	-0.758	1	42	83	11	2013.5455	14.0909	1.9575
7988	natural selection	0.9831	-0.6268	3	36	66	10	2011.9	28	1.2662
8051	neotropical streams	-1.2414	-0.5649	1	35	73	11	2014.7273	21.9091	1.5574
8066	nestedness	-0.4038	-0.992	2	52	116	14	2015.4286	11.8571	1.7671
8092	neutral theory	0.1356	-0.7724	2	48	81	12	2013.4167	24.8333	1.181
8116	niche	0.591	-0.183	2	80	155	22	2013.7273	29.1364	1.0795
8219	non-native species	-0.6474	-0.4635	3	41	68	10	2015.6	13.5	1.5306
8354	nutrient	-0.0027	0.5341	2	153	533	95	2014.1053	18.4632	0.9554
8364	nutrient enrichment	-0.6459	0.3471	2	52	76	11	2014.7273	13.7273	0.8899
8367	nutrient limitation	0.2242	0.9877	2	42	76	14	2015.0714	13.1429	1.0714
8415	ocean acidification	0.3535	0.5312	1	67	151	30	2015.7667	12.3667	1.6046
8529	organic enrichment	-0.7323	0.5344	1	43	64	11	2014.1818	10.8182	0.7633
8547	organicmatter	-0.2554	0.6547	1	78	195	41	2013.5854	20.5854	1.3631
8549	organism	-0.343	0.4349	1	47	60	11	2014.6364	20.2727	1.5154
8712	parallel evolution	1.0812	-0.6728	3	27	56	13	2013.2308	26.3077	1.5153
8720	parana river	-0.2636	-0.192	2	47	72	10	2016.5	8.5	0.9248
8790	pattern	-0.0454	-0.325	2	249	1663	237	2013.1181	22.9578	1.0692
8855	performance	0.7327	-0.1278	3	76	113	24	2013.1667	10.4167	0.6676
8863	periphyton	-0.4046	0.6332	2	50	89	15	2014.0667	17.4	1.0015
8887	perspective	-0.7457	0.084	1	51	95	14	2011.7143	23.3571	1.0675
8893	pesticide	-0.5164	-0.1205	1	36	59	11	2010.7273	55.0909	1.3741
8930	phenology	0.6274	0.5383	2	49	68	12	2013.1667	12.1667	0.4354
8985	photosynthesis	0.7269	0.5422	2	77	160	33	2012.9394	17.0909	0.7548
9039	phylogenetic signal	0.5199	-0.3923	3	52	94	13	2014.8462	19	1.2335
9040	phylogenetic structure	0.7284	-0.6018	2	35	67	10	2015.8	7	0.8148
9047	phylogeny	0.4702	-0.4622	3	90	195	43	2011.8605	23.4651	0.7463
9083	phytoplankton	0.1596	0.8536	2	133	665	112	2014.0536	18.0982	1.1981
9162	plankton	0.3683	0.8765	2	86	264	44	2014.6364	10.0682	0.9114
9180	plant	0.4839	0.0511	2	155	459	93	2012.6022	28.9355	1.1405
9333	pollution	-0.519	0.1445	1	74	138	22	2011.0909	30.5455	0.8283
9359	polymorphism	1.0055	-0.4287	3	32	47	13	2013.1538	10.5385	0.5018
9392	population	0.5679	-0.2806	3	159	443	84	2012.7262	20.6786	0.8412
9409	population regulation	0.2806	-0.7439	3	44	92	13	2014	42.3846	1.5819
9448	positive interactions	0.9948	0.4608	2	39	73	12	2011.5	22.6667	0.9876
9502	predator	-0.5561	0.8802	1	42	70	10	2011.6	20	0.9138
9517	predator-prey interactions	0.6496	0.2558	3	40	58	10	2012.4	15.8	0.6454
9533	prediction	-0.7197	-0.5103	1	43	72	12	2008.25	119.5833	1.5008
9558	prey capture	1.3182	-0.2593	3	19	44	11	2011.9091	11.3636	0.7039
9614	productivity	0.1635	0.4314	3	130	368	56	2012.8929	33.5714	1.1139
9643	protected areas	-0.0826	-0.0604	3	48	63	10	2016.1	6.7	1.0155
9741	qtl	1.0243	-0.098	3	18	26	10	2012.8	10.9	0.5228
9747	quality	-0.976	-0.1116	1	120	323	56	2013.2143	32.9464	1.1075
9838	range shifts	0.4888	0.6314	3	41	70	10	2015.7	22.4	1.854
9868	rate	0.5957	0.7264	2	86	200	36	2015.0556	23.5278	1.4356
9922	recovery	-0.5638	0.5032	1	71	151	25	2013.6	36.4	1.3936
9929	recruitment	0.2264	-0.0417	2	59	87	16	2011.875	15.25	1.3807
9959	redundancy	-0.6368	0.2336	1	134	525	69	2014.7246	18.7391	0.9771
9964	reef	0.3925	0.1156	1	83	217	44	2014.3409	24.2727	1.1971
9992	regeneration	0.7526	0.1714	2	41	56	10	2010.8	22.3	0.5172
10084	reproduction	0.3754	-0.1493	3	55	69	17	2011.8824	14.0588	0.4217
10096	reproductive isolation	1.058	-0.6289	3	24	43	13	2013.3846	22.3846	1.053
10125	resilience	-0.5249	0.2466	1	101	307	39	2014.3077	20.1282	1.1876
10126	resistance	0.0404	0.2502	1	59	103	21	2012.0476	20.2381	0.8335
10169	response	-0.3494	0.1335	1	156	532	82	2014.2683	29.561	1.5649
10170	response diversity	-0.7718	0.7002	1	47	103	13	2016.1538	4.5385	0.6457
10292	risk	-0.0406	0.1258	3	56	87	16	2013.5	40.5	1.4997
10294	river	-0.6869	-0.3324	1	221	1541	214	2012.229	28.8645	1.1172
10363	rlq analysis	-0.3259	-0.8582	2	43	78	10	2013.1	21.3	0.9391
10481	salinity	0.2137	0.0687	2	85	144	25	2013.8	8.96	0.6466
10598	scale	-0.4112	0.0014	1	120	304	43	2013.186	15.6047	0.8029
10693	seagrass	-0.6464	-0.082	2	42	74	10	2015.2	22.9	0.8775
10755	sediment	-0.6446	0.6088	1	122	372	67	2013.8507	19.9104	0.885
10812	selection	0.7596	-0.4491	3	104	219	45	2011.1556	22.6	0.9118
10855	sensitivity	-0.4688	0.0702	1	51	83	13	2013.1538	14.6923	1.3825
10865	sequence	0.6207	-0.4562	3	43	72	22	2012.7273	93.0909	1.4529
10882	services	-0.3847	0.8932	1	53	91	14	2015	20.9286	1.6643
10914	sexual selection	1.1493	-0.5915	3	28	50	14	2010.5714	17	0.5978
11014	similarity	-0.0887	-0.9788	2	39	81	11	2014.8182	13.9091	0.8281
11048	size	0.5726	0.1365	3	237	1305	211	2013.8957	19.9384	1.0434
11160	soil	0.3106	-0.0852	2	70	116	22	2013.6818	77.0455	0.8998
11241	south-africa	0.0915	-0.0683	2	48	68	14	2013.8571	12	0.8723
11279	southern north-sea	-0.6743	0.8365	1	32	49	10	2011.9	54.2	1.706
11347	spatial scale	-0.4675	-0.3348	3	64	135	18	2011.0556	32.6111	0.9223
11348	spatial scales	-0.8374	-0.3486	1	80	174	23	2012.2609	51.7826	1.4801
11359	spatial-distribution	-0.4241	-0.1319	1	50	70	13	2014.2308	19.5385	0.6356
11380	speciation	0.8915	-0.5931	3	54	100	20	2012.6	19.55	1.0778
11382	species	0.7726	-0.6729	3	81	220	39	2013.5897	25.0513	1.3609
11394	species coexistence	1.0258	0.0324	3	44	70	11	2013.9091	14.3636	0.8579
11396	species composition	-0.2466	0.5354	1	64	114	16	2014	9.75	0.765
11408	species diversity	-0.9896	0.4358	1	43	70	10	2012.4	12.1	0.6364
11422	species interactions	0.8257	0.6869	3	42	69	11	2012.4545	36.5455	1.5388
11445	species sorting	-0.0452	-0.4862	3	60	90	12	2013.8333	20.9167	1.1388
11469	species-richness	0.1785	-0.3496	2	51	84	11	2014	52.5455	1.8008
11474	specific leaf area	0.9856	0.3275	2	46	80	13	2010.9231	67.1538	1.2375
11542	stability	0.1943	0.7686	3	83	198	27	2012.1111	30.2222	0.9665
11555	stable isotopes	0.6554	0.1326	3	57	78	14	2012.4286	21.2143	0.8072
11562	stable-isotopes	0.9598	-0.1744	3	53	79	15	2013.0667	19.4667	0.9745
11593	statistical-method	-0.2922	-0.3483	1	183	711	109	2013.1835	22.844	0.9761
11660	strategy	0.2585	0.3078	2	107	300	45	2010.6222	27.8889	1.0379
11667	stream	-0.8968	-0.1864	1	157	728	97	2012.8454	18.4639	1.0091
11678	stream ecology	-0.3697	-0.3311	2	48	82	11	2010.9091	52.8182	1.4866
11683	stream fishes	-0.3277	-0.6807	3	47	66	10	2012.2	19.1	0.8126
11690	stream invertebrate communities	-1.006	-0.7982	1	35	69	10	2011.5	42.3	0.8515
11691	stream invertebrates	-0.9632	-0.2636	1	37	59	10	2012	30.6	1.3429
11692	stream macroinvertebrate communities	-1.1932	-0.0586	1	43	79	12	2013.5	22	1.3995
11723	stress	0.5392	0.382	2	70	123	21	2012.9048	13.1429	0.6429
11732	stressor	-0.6914	-0.2272	1	109	301	43	2015.5349	14.0465	1.468
11763	structure	0.3945	-0.5884	3	40	57	12	2014.0833	13.25	0.7671
11850	succession	0.3327	0.3223	2	107	262	40	2012.725	15.925	0.849
11965	symbiosis	0.9688	-0.1185	3	27	39	11	2014.0909	25.5455	1.234
11970	sympatric speciation	1.204	-0.4967	3	27	48	11	2012.8182	27.8182	0.9562
11981	system	-0.5598	-0.0516	1	105	253	36	2013.2778	19.7222	1.0059
12052	taxonomic distinctness	-0.9899	0.1718	1	32	66	13	2013.2308	18.9231	1.023
12059	taxonomic resolution	-0.9789	0.0891	1	50	73	10	2012.8	31.5	1.7389
12067	taxonomy	-0.0633	-0.2317	2	38	53	11	2015.1818	7.1818	0.7356
12104	temperature	0.4568	0.3964	2	133	404	65	2013.9846	24.9077	1.4544
12120	temporal	-0.3145	0.3247	1	102	217	34	2012.6176	23.4706	1.1043
12164	terrestrial ecosystems	0.627	0.659	3	45	71	14	2014.5	18.5714	1.295
12252	threespine stickleback	1.0654	-0.5702	3	34	62	14	2012.9286	25	0.9972
12316	tolerance	0.7299	0.2854	2	67	122	24	2014	13.4583	0.7008
12358	tradeoff	0.731	0.0104	3	97	292	50	2012.76	34.98	1.2619
12361	trait	-0.4761	-0.0748	1	309	4663	679	2013.3652	23.838	1.0692
12406	trait-based approach	0.0038	-0.1038	1	80	170	25	2014.52	17.2	1.0655
12412	trait-based ecology	0.2619	0.52	2	55	78	12	2014.75	30	1.7486
12507	tree	0.5237	-0.047	2	59	107	18	2013.9444	9.2222	0.7093
12542	trichoptera	-0.5877	-0.5676	1	42	79	12	2013.1667	9.6667	0.5366
12568	trophic cascades	0.2944	0.4484	3	53	85	15	2011.8667	44.8	1.377
12581	trophic interactions	0.6506	0.8415	3	39	67	11	2014.0909	14.6364	0.8997
12603	trophic structure	-0.5574	0.5945	1	46	80	12	2013.9167	25	1.1182
12646	tropical stream	-0.4494	0.3141	2	45	63	10	2012.3	29	0.7626
12686	turnover	-0.1706	-0.8415	2	53	107	13	2015.6154	11.4615	1.6974
12776	urbanization	-0.6162	-0.8455	1	51	97	13	2015.1538	4.3077	0.6331
12789	use efficiency	0.856	0.4091	2	27	36	10	2013.6	12.5	0.9564
12813	variability	-0.2224	0.1425	3	127	308	45	2012.8	23.2222	0.7645
12827	variation	0.8338	-0.6391	3	42	67	16	2009.8125	25.875	1.0551
12838	vegetation	0.236	0.1287	2	192	899	157	2013.2038	19.3439	0.8916
12891	vertical-distribution	-0.7477	0.3702	1	49	77	13	2015.1538	9.7692	0.6623
12943	vulnerability	-0.045	0.6344	1	60	114	17	2014.8824	21	1.1152
12950	wadden sea	-0.0871	0.3125	1	48	70	12	2012	22	0.8869
12971	waste-water	-0.4183	0.1772	1	32	45	10	2013.8	24.1	1.5344
12975	water	0.0546	0.0382	2	189	637	105	2012.8762	20.8952	0.8909
13022	water quality	-1.0192	-0.0126	1	40	66	12	2012.4167	21	1.398
13147	wetland	-0.167	0.28	2	93	199	29	2013.4138	10.069	0.5513
13226	wood density	0.8518	0.2727	2	44	87	15	2011.4667	66.3333	1.6631
13244	worldwide	0.7369	0.393	2	46	84	11	2014.8182	11.4545	0.5683
13272	xylem cavitation	0.9396	0.3901	2	29	49	10	2014.3	61.3	2.2834
13320	zooplankton	0.4328	0.5704	3	89	213	38	2013.8421	11.0263	0.7857
